"";"date";"leaves";"egg";"L1";"L2";"L3";"L4";"L5";"imago"
"1";"2005-04-19 12:00:00";30;285;147;0;0;0;0;0
"3";"2005-04-20 12:00:00";15;211;0;0;0;0;0;0
"4";"2005-04-21 12:00:00";15;60;0;0;0;0;0;0
"5";"2005-04-23 12:00:00";15;15;0;0;0;0;0;0
"6";"2005-04-25 12:00:00";45;3;177;0;0;0;0;0
"9";"2005-04-26 12:00:00";15;0;0;0;0;0;0;0
"10";"2005-04-27 12:00:00";30;0;83;4;0;0;0;0
"12";"2005-04-28 12:00:00";30;0;74;2;0;0;0;0
"14";"2005-05-02 12:00:00";34;0;4;19;0;0;0;0
"17";"2005-05-03 12:00:00";43;0;1;12;1;0;0;0
"20";"2005-05-04 12:00:00";30;0;0;1;8;0;0;0
"22";"2005-05-08 12:00:00";30;0;0;0;0;0;0;0
"24";"2005-05-11 12:00:00";30;0;0;0;0;0;0;0
