"";"date";"leaves";"egg";"L1";"L2";"L3";"L4";"L5";"imago"
"1";"2005-04-20 12:00:00";20;305;0;0;0;0;0;0
"3";"2005-04-21 12:00:00";10;14;0;0;0;0;0;0
"4";"2005-04-23 12:00:00";10;92;0;0;0;0;0;0
"5";"2005-04-25 12:00:00";20;20;150;0;0;0;0;0
"7";"2005-04-27 12:00:00";20;11;32;0;0;0;0;0
"9";"2005-04-29 12:00:00";21;1;44;23;0;0;0;0
"12";"2005-05-02 12:00:00";17;0;2;27;0;0;0;0
"14";"2005-05-07 12:00:00";20;0;0;1;20;0;0;0
"16";"2005-05-13 12:00:00";18;0;0;0;1;21;0;0
"18";"2005-05-18 12:00:00";20;0;0;0;0;0;11;0
